id,example,source_type,source,shared_expression,literal_item,figurative_item,typical_item,atypical_item,classification,dead_metaphor_reactivation_score,word_order,semantic_distance_level,notes
"J001","彼は荷物と不安を抱えた。","constructed","constructed for this project","抱える","荷物","不安","荷物","不安","dead metaphor 再活性化型","3","literal_to_figurative","moderate","作例。実例確認が必要; 保持と負荷の橋渡しスキーマが強い"
"J002","彼女は涙と本音をこぼした。","constructed","constructed for this project","こぼす","涙","本音","涙","本音","dead metaphor 再活性化型","3","literal_to_figurative","moderate","作例。実例確認が必要; 内部から外へ漏れるスキーマが強い"
"J003","彼女は部屋と気持ちを整理した。","constructed","constructed for this project","整理する","部屋","気持ち","部屋","気持ち","dead metaphor 再活性化型","3","literal_to_figurative","moderate","作例。実例確認が必要; 散らかりから秩序化へのスキーマが使える"
"J004","彼はグラスと沈黙を破った。","constructed","constructed for this project","破る","グラス","沈黙","グラス","沈黙","frame shift型","2","literal_to_figurative","moderate","作例。沈黙を破るは慣用的だが物理破壊よりフレーム切替が目立つ"
"J005","彼は荷物と責任を背負った。","constructed","constructed for this project","背負う","荷物","責任","荷物","責任","dead metaphor 再活性化型","3","literal_to_figurative","moderate","作例。負荷スキーマが非常に強い; 実例確認が必要"
"J006","彼女はドアと心を開いた。","constructed","constructed for this project","開く","ドア","心","ドア","心","metonymy混合型","2","literal_to_figurative","moderate","作例。心は内面のメトニミー的要素を含む可能性"
"J007","彼は書類と問題を片づけた。","constructed","constructed for this project","片づける","書類","問題","書類","問題","dead metaphor 再活性化型","2","literal_to_figurative","moderate","作例。処理完了スキーマが強いが抽象化型との境界確認が必要"
"J008","彼女は机と考えを整理した。","constructed","constructed for this project","整理する","机","考え","机","考え","dead metaphor 再活性化型","2","literal_to_figurative","moderate","作例。考えの整理は慣用的だが気持ちより論理的で身体性はやや弱い"
"J009","彼は鍵と記憶をなくした。","constructed","constructed for this project","なくす","鍵","記憶","鍵","記憶","polysemy型","1","literal_to_abstract","moderate","作例。距離は適度でも語義切替が中心; 意味的距離仮説への反例"
"J010","彼女は窓と心を閉ざした。","constructed","constructed for this project","閉ざす","窓","心","窓","心","metonymy混合型","2","literal_to_figurative","moderate","作例。心の閉鎖は内面フレーム; 開く型との対照用"
"J011","彼は重い箱と重い責任を背負った。","constructed","constructed for this project","背負う","重い箱","重い責任","重い箱","重い責任","明示的橋渡し型","3","literal_to_figurative","moderate","作例。重いが橋渡しを明示するため再前景化は強いが修辞的意外性は弱まる"
"J012","彼女は涙と弱音をこぼした。","constructed","constructed for this project","こぼす","涙","弱音","涙","弱音","dead metaphor 再活性化型","2","literal_to_figurative","moderate","作例。弱音をこぼすの慣用性確認が必要; 本音より固定性が不明"
"J013","彼は火と怒りを抑えた。","constructed","constructed for this project","抑える","火","怒り","火","怒り","dead metaphor 再活性化型","2","literal_to_figurative","moderate","作例。抑制スキーマは強いが火を抑えるの自然さが文脈依存"
"J014","彼女は道と未来を切り開いた。","constructed","constructed for this project","切り開く","道","未来","道","未来","dead metaphor 再活性化型","2","literal_to_figurative","moderate","作例。未来を切り開くは慣用化した比喩; 実例確認が必要"
"J015","彼は箱と秘密を開けた。","constructed","constructed for this project","開ける","箱","秘密","箱","秘密","語彙選択不一致型","0","literal_to_abstract","unclear","作例。不自然。秘密は普通は明かすであり開けるとの結びつきが弱い"
